realm-java 6cf596df183b3c3a38ed5dd9bb3b0100c6548ebb EXTRACT	{Method showStatus(Realm) at examples/migrationExample/src/main/java/io/realm/examples/realmmigrationexample/MigrationExampleActivity.java:112}	{Method showStatus(String) at examples/migrationExample/src/main/java/io/realm/examples/realmmigrationexample/MigrationExampleActivity.java:131})
byte-buddy 372f4ae6cebcd664e3b43cade356d1df233f6467 EXTRACT_MOVE	{Method testInterfaceOnlyMultipleUpperBoundTypeVariableType() at byte-buddy-dep/src/test/java/net/bytebuddy/description/type/generic/AbstractGenericTypeDescriptionTest.java:171}	{Method getVariableSource() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:341})
byte-buddy 372f4ae6cebcd664e3b43cade356d1df233f6467 CHANGE_SIGNATURE	{Method MethodToken(String, TypeDescription, List<? extends TypeDescription>, List<? extends TypeDescription>, int) at byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/DynamicType.java:1894}	{Method MethodToken(String, GenericTypeDescription, List<? extends GenericTypeDescription>, List<? extends GenericTypeDescription>, int) at byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/DynamicType.java:1895})
byte-buddy 372f4ae6cebcd664e3b43cade356d1df233f6467 EXTRACT_MOVE	{Method testSimpleParameterizedType() at byte-buddy-dep/src/test/java/net/bytebuddy/description/type/generic/AbstractGenericTypeDescriptionTest.java:30}	{Method getUpperBounds() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:336})
byte-buddy 372f4ae6cebcd664e3b43cade356d1df233f6467 EXTRACT_MOVE	{Method testMultipleUpperBoundTypeVariableType() at byte-buddy-dep/src/test/java/net/bytebuddy/description/type/generic/AbstractGenericTypeDescriptionTest.java:152}	{Method getUpperBounds() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:336})
byte-buddy 372f4ae6cebcd664e3b43cade356d1df233f6467 EXTRACT_MOVE	{Method testSimpleParameterizedType() at byte-buddy-dep/src/test/java/net/bytebuddy/description/type/generic/AbstractGenericTypeDescriptionTest.java:30}	{Method getVariableSource() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:341})
byte-buddy 372f4ae6cebcd664e3b43cade356d1df233f6467 EXTRACT_MOVE	{Method getInterfacesGen() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/TypeDescription.java:168}	{Method getInterfacesGen() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:1102})
byte-buddy 372f4ae6cebcd664e3b43cade356d1df233f6467 EXTRACT_MOVE	{Method testLowerBoundWildcardParameterizedType() at byte-buddy-dep/src/test/java/net/bytebuddy/description/type/generic/AbstractGenericTypeDescriptionTest.java:71}	{Method getUpperBounds() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:336})
byte-buddy 372f4ae6cebcd664e3b43cade356d1df233f6467 EXTRACT_MOVE	{Method getSuperType() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/TypeDescription.java:335}	{Method getSuperTypeGen() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:1107})
byte-buddy 372f4ae6cebcd664e3b43cade356d1df233f6467 EXTRACT_MOVE	{Method testNestedInnerMethod() at byte-buddy-dep/src/test/java/net/bytebuddy/description/type/generic/AbstractGenericTypeDescriptionTest.java:270}	{Method getUpperBounds() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:336})
byte-buddy 372f4ae6cebcd664e3b43cade356d1df233f6467 CHANGE_SIGNATURE	{Method MethodToken(ElementMatcher<? super TypeDescription>, MethodDescription) at byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/scaffold/InstrumentedType.java:476}	{Method MethodToken(GenericTypeDescription.Visitor<GenericTypeDescription>, MethodDescription) at byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/scaffold/InstrumentedType.java:475})
byte-buddy 372f4ae6cebcd664e3b43cade356d1df233f6467 EXTRACT_MOVE	{Method testNestedInnerType() at byte-buddy-dep/src/test/java/net/bytebuddy/description/type/generic/AbstractGenericTypeDescriptionTest.java:247}	{Method getUpperBounds() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:336})
byte-buddy 372f4ae6cebcd664e3b43cade356d1df233f6467 EXTRACT_MOVE	{Method InlineInstrumentedType(ClassFileVersion, TypeDescription, List<? extends GenericTypeDescription>, int, NamingStrategy) at byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/scaffold/inline/InlineInstrumentedType.java:58}	{Method getSuperTypeGen() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:1107})
byte-buddy 372f4ae6cebcd664e3b43cade356d1df233f6467 EXTRACT_MOVE	{Method getUpperBounds() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:22}	{Method getUpperBounds() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:336})
byte-buddy 372f4ae6cebcd664e3b43cade356d1df233f6467 EXTRACT_MOVE	{Method InlineInstrumentedType(ClassFileVersion, TypeDescription, List<? extends GenericTypeDescription>, int, NamingStrategy) at byte-buddy-dep/src/main/java/net/bytebuddy/dynamic/scaffold/inline/InlineInstrumentedType.java:58}	{Method getInterfacesGen() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:1102})
byte-buddy 372f4ae6cebcd664e3b43cade356d1df233f6467 EXTRACT_MOVE	{Method equals(Object) at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:719}	{Method getVariableSource() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:341})
byte-buddy 372f4ae6cebcd664e3b43cade356d1df233f6467 EXTRACT_MOVE	{Method testSingleUpperBoundTypeVariableType() at byte-buddy-dep/src/test/java/net/bytebuddy/description/type/generic/AbstractGenericTypeDescriptionTest.java:135}	{Method getVariableSource() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:341})
byte-buddy 372f4ae6cebcd664e3b43cade356d1df233f6467 EXTRACT_MOVE	{Method hashCode() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:714}	{Method getVariableSource() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:341})
byte-buddy 372f4ae6cebcd664e3b43cade356d1df233f6467 PULL_UP	{Method getInterfacesGen() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/TypeDescription.java:168}	{Method getInterfacesGen() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:26})
byte-buddy 372f4ae6cebcd664e3b43cade356d1df233f6467 EXTRACT_MOVE	{Method getSuperTypeGen() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/TypeDescription.java:159}	{Method getSuperTypeGen() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:1107})
byte-buddy 372f4ae6cebcd664e3b43cade356d1df233f6467 EXTRACT_MOVE	{Method getGenericSignature() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/TypeDescription.java:449}	{Method getInterfacesGen() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:1102})
byte-buddy 372f4ae6cebcd664e3b43cade356d1df233f6467 CHANGE_SIGNATURE	{Method declaresException(ElementMatcher<? super List<? extends TypeDescription>>) at byte-buddy-dep/src/main/java/net/bytebuddy/matcher/ElementMatchers.java:886}	{Method declaresException(ElementMatcher<? super Iterable<? extends TypeDescription>>) at byte-buddy-dep/src/main/java/net/bytebuddy/matcher/ElementMatchers.java:916})
byte-buddy 372f4ae6cebcd664e3b43cade356d1df233f6467 EXTRACT_MOVE	{Method asRawType() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:666}	{Method getUpperBounds() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:336})
byte-buddy 372f4ae6cebcd664e3b43cade356d1df233f6467 EXTRACT_MOVE	{Method testLowerBoundWildcardParameterizedType() at byte-buddy-dep/src/test/java/net/bytebuddy/description/type/generic/AbstractGenericTypeDescriptionTest.java:71}	{Method getVariableSource() at byte-buddy-dep/src/main/java/net/bytebuddy/description/type/generic/GenericTypeDescription.java:341})
commafeed 18a7bd1fd1a83b3b8d1b245e32f78c0b4443b7a7 EXTRACT	{Method fetch(Feed) at src/main/java/com/commafeed/backend/favicon/DefaultFaviconFetcher.java:30}	{Method fetch(String) at src/main/java/com/commafeed/backend/favicon/DefaultFaviconFetcher.java:39})
fabric8 8127b21a220ca677c4e59961d019e7753da7ea6e EXTRACT	{Method getLivenessProbe() at fabric8-maven-plugin/src/main/java/io/fabric8/maven/JsonMojo.java:836}	{Method getProbe(String) at fabric8-maven-plugin/src/main/java/io/fabric8/maven/JsonMojo.java:845})
quasar c22d40fab8dfe4c5cad9ba582caf0855ff64b324 EXTRACT	{Method onSubscribe(Subscription) at quasar-reactive-streams/src/main/java/co/paralleluniverse/strands/channels/reactivestreams/ChannelSubscriber.java:49}	{Method failedSubscribe(Subscription) at quasar-reactive-streams/src/main/java/co/paralleluniverse/strands/channels/reactivestreams/ChannelSubscriber.java:61})
moco 55ffa2f3353c5dc77fe6b790e5e045b76a07a772 PULL_UP	{Method redirectTo(String) at moco-core/src/main/java/com/github/dreamhead/moco/internal/ActualHttpServer.java:94}	{Method redirectTo(String) at moco-core/src/main/java/com/github/dreamhead/moco/internal/HttpConfiguration.java:71})
moco 55ffa2f3353c5dc77fe6b790e5e045b76a07a772 PULL_UP	{Method onRequestAttached(RequestMatcher) at moco-core/src/main/java/com/github/dreamhead/moco/internal/ActualHttpServer.java:99}	{Method onRequestAttached(RequestMatcher) at moco-core/src/main/java/com/github/dreamhead/moco/internal/HttpConfiguration.java:76})
gradle 04bcfe98dbe7b05e508559930c21379ece845732 PUSH_DOWN	{Method failed(ResolveException) at subprojects/dependency-management/src/main/java/org/gradle/api/internal/artifacts/ResolverResults.java:103}	{Method failed(ResolveException) at subprojects/dependency-management/src/main/java/org/gradle/api/internal/artifacts/DefaultResolverResults.java:113})
gradle 04bcfe98dbe7b05e508559930c21379ece845732 PUSH_DOWN	{Method assertHasArtifacts() at subprojects/dependency-management/src/main/java/org/gradle/api/internal/artifacts/ResolverResults.java:91}	{Method assertHasArtifacts() at subprojects/dependency-management/src/main/java/org/gradle/api/internal/artifacts/DefaultResolverResults.java:101})
gradle 04bcfe98dbe7b05e508559930c21379ece845732 CHANGE_SIGNATURE	{Method resolveArtifacts(ConfigurationInternal, ResolverResults) at subprojects/dependency-management/src/main/java/org/gradle/api/internal/artifacts/ConfigurationResolver.java:23}	{Method resolveArtifacts(ConfigurationInternal, DefaultResolverResults) at subprojects/dependency-management/src/main/java/org/gradle/api/internal/artifacts/ConfigurationResolver.java:23})
gradle 04bcfe98dbe7b05e508559930c21379ece845732 PUSH_DOWN_IMPL	{Method getResolvedLocalComponents() at subprojects/dependency-management/src/main/java/org/gradle/api/internal/artifacts/ResolverResults.java:77}	{Method getResolvedLocalComponents() at subprojects/dependency-management/src/main/java/org/gradle/api/internal/artifacts/DefaultResolverResults.java:81})
gradle 04bcfe98dbe7b05e508559930c21379ece845732 CHANGE_SIGNATURE	{Method resolveArtifacts(ResolveContext, List<? extends ResolutionAwareRepository>, GlobalDependencyResolutionRules, ResolverResults) at subprojects/dependency-management/src/main/java/org/gradle/api/internal/artifacts/ivyservice/SelfResolvingDependencyResolver.java:44}	{Method resolveArtifacts(ResolveContext, List<? extends ResolutionAwareRepository>, GlobalDependencyResolutionRules, DefaultResolverResults) at subprojects/dependency-management/src/main/java/org/gradle/api/internal/artifacts/ivyservice/SelfResolvingDependencyResolver.java:44})
gradle 04bcfe98dbe7b05e508559930c21379ece845732 EXTRACT_MOVE	{Method getResolvedConfiguration() at subprojects/dependency-management/src/main/java/org/gradle/api/internal/artifacts/ResolverResults.java:52}	{Method getResolvedConfiguration() at subprojects/dependency-management/src/main/java/org/gradle/api/internal/artifacts/DefaultResolverResults.java:54})
gradle 04bcfe98dbe7b05e508559930c21379ece845732 CHANGE_SIGNATURE	{Method resolve(ResolveContext, List<? extends ResolutionAwareRepository>, GlobalDependencyResolutionRules, ResolverResults) at subprojects/dependency-management/src/main/java/org/gradle/api/internal/artifacts/ivyservice/ErrorHandlingArtifactDependencyResolver.java:42}	{Method resolve(ResolveContext, List<? extends ResolutionAwareRepository>, GlobalDependencyResolutionRules, DefaultResolverResults) at subprojects/dependency-management/src/main/java/org/gradle/api/internal/artifacts/ivyservice/ErrorHandlingArtifactDependencyResolver.java:42})
gradle 04bcfe98dbe7b05e508559930c21379ece845732 CHANGE_SIGNATURE	{Method resolve(ResolveContext, List<? extends ResolutionAwareRepository>, GlobalDependencyResolutionRules, ResolverResults) at subprojects/dependency-management/src/main/java/org/gradle/api/internal/artifacts/ivyservice/ShortcircuitEmptyConfigsArtifactDependencyResolver.java:44}	{Method resolve(ResolveContext, List<? extends ResolutionAwareRepository>, GlobalDependencyResolutionRules, DefaultResolverResults) at subprojects/dependency-management/src/main/java/org/gradle/api/internal/artifacts/ivyservice/ShortcircuitEmptyConfigsArtifactDependencyResolver.java:44})
gradle 04bcfe98dbe7b05e508559930c21379ece845732 EXTRACT_MOVE	{Method hasError() at subprojects/dependency-management/src/main/java/org/gradle/api/internal/artifacts/ResolverResults.java:38}	{Method hasError() at subprojects/dependency-management/src/main/java/org/gradle/api/internal/artifacts/DefaultResolverResults.java:39})
gradle 04bcfe98dbe7b05e508559930c21379ece845732 CHANGE_SIGNATURE	{Method execute(ResolverResults) at subprojects/language-java/src/main/java/org/gradle/language/java/plugins/JavaLanguagePlugin.java:188}	{Method execute(DefaultResolverResults) at subprojects/language-java/src/main/java/org/gradle/language/java/plugins/JavaLanguagePlugin.java:187})
gradle 04bcfe98dbe7b05e508559930c21379ece845732 PUSH_DOWN	{Method eachResolvedProject(Action<ResolvedProjectConfiguration>) at subprojects/dependency-management/src/main/java/org/gradle/api/internal/artifacts/ResolverResults.java:67}	{Method eachResolvedProject(Action<ResolvedProjectConfiguration>) at subprojects/dependency-management/src/main/java/org/gradle/api/internal/artifacts/DefaultResolverResults.java:71})
gradle 04bcfe98dbe7b05e508559930c21379ece845732 CHANGE_SIGNATURE	{Method DefaultResolvedArtifact(ResolvedModuleVersion, IvyArtifactName, Factory<File>) at subprojects/dependency-management/src/main/java/org/gradle/api/internal/artifacts/DefaultResolvedArtifact.java:31}	{Method DefaultResolvedArtifact(ResolvedModuleVersion, IvyArtifactName, ComponentArtifactIdentifier, Factory<File>) at subprojects/dependency-management/src/main/java/org/gradle/api/internal/artifacts/DefaultResolvedArtifact.java:33})
gradle 04bcfe98dbe7b05e508559930c21379ece845732 CHANGE_SIGNATURE	{Method resolve(ResolveContext, List<? extends ResolutionAwareRepository>, GlobalDependencyResolutionRules, ResolverResults) at subprojects/dependency-management/src/main/java/org/gradle/api/internal/artifacts/ivyservice/SelfResolvingDependencyResolver.java:37}	{Method resolve(ResolveContext, List<? extends ResolutionAwareRepository>, GlobalDependencyResolutionRules, DefaultResolverResults) at subprojects/dependency-management/src/main/java/org/gradle/api/internal/artifacts/ivyservice/SelfResolvingDependencyResolver.java:37})
gradle 04bcfe98dbe7b05e508559930c21379ece845732 EXTRACT_MOVE	{Method getResolvedLocalComponents() at subprojects/dependency-management/src/main/java/org/gradle/api/internal/artifacts/ResolverResults.java:77}	{Method getResolvedLocalComponents() at subprojects/dependency-management/src/main/java/org/gradle/api/internal/artifacts/DefaultResolverResults.java:81})
gradle 04bcfe98dbe7b05e508559930c21379ece845732 PULL_UP	{Method getArtifacts() at subprojects/dependency-management/src/main/java/org/gradle/api/internal/artifacts/ivyservice/resolveengine/oldresult/ResolvedArtifactResults.java:26}	{Method getArtifacts() at subprojects/dependency-management/src/main/java/org/gradle/api/internal/artifacts/ivyservice/resolveengine/result/ResolvedArtifactsContainer.java:23})
gradle 04bcfe98dbe7b05e508559930c21379ece845732 CHANGE_SIGNATURE	{Method resolve(ResolveContext, Action<ResolverResults>) at subprojects/language-java/src/main/java/org/gradle/language/java/plugins/JavaLanguagePlugin.java:216}	{Method resolve(ResolveContext, Action<DefaultResolverResults>) at subprojects/language-java/src/main/java/org/gradle/language/java/plugins/JavaLanguagePlugin.java:211})
gradle 04bcfe98dbe7b05e508559930c21379ece845732 CHANGE_SIGNATURE	{Method resolve(ResolveContext, List<? extends ResolutionAwareRepository>, GlobalDependencyResolutionRules, ResolverResults) at subprojects/dependency-management/src/main/java/org/gradle/api/internal/artifacts/ivyservice/CacheLockingArtifactDependencyResolver.java:36}	{Method resolve(ResolveContext, List<? extends ResolutionAwareRepository>, GlobalDependencyResolutionRules, DefaultResolverResults) at subprojects/dependency-management/src/main/java/org/gradle/api/internal/artifacts/ivyservice/CacheLockingArtifactDependencyResolver.java:36})
